QueryID	Number of annotations replaced	Best Match--BP Symmetric Profile IC	Best Match Similarity--BP Symmetric Profile IC	Best Match--BP Symmetric Annotation IC	Best Match Similarity--BP Symmetric Annotation IC	Best Match--BP Asymmetric Profile IC	Best Match Similarity--BP Asymmetric Profile IC	Best Match--BP Asymmetric Annotation IC	Best Match Similarity--BP Asymmetric Annotation IC	Best Match--AP Profile IC	Best Match Similarity--AP Profile IC	Best Match--AP Annotation IC	Best Match Similarity--AP Annotation IC	Best Match--BP Asymmetric Simj	Best Match Similarity--BP Asymmetric Simj	Best Match--BP Symmetric Simj	Best Match Similarity--BP Symmetric Simj	Best Match--AP Simj	Best Match Similarity--AP Simj
VTO_0055613	1	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0059196	0.03	VTO_0059196	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.315538008
VTO_0055613	2	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0059196	0.03	VTO_0059196	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.315538008
VTO_0055613	3	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0059196	0.025	VTO_0046012	0.19	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.315538008
VTO_0055613	4	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_9010598	0.02	VTO_9005294	0.18	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.31734845
VTO_0055613	5	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0053270	0.03	VTO_0053270	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.31734845
VTO_0055613	6	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0053270	0.03	VTO_0053270	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.31734845
VTO_0055613	7	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0055613	0.79	VTO_0055613	0.87	VTO_0053270	0.03	VTO_0053270	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9022875	0.315975231
VTO_0055613	8	VTO_0055613	0.77	VTO_0055613	0.86	VTO_0055613	0.77	VTO_0055613	0.86	VTO_0080344	0.03	VTO_0053270	0.2	VTO_0055613	1	VTO_0055613	1	VTO_9009727	0.318324511
VTO_0055613	9	VTO_0055613	0.75	VTO_0055613	0.85	VTO_0055613	0.75	VTO_0055613	0.85	VTO_0080344	0.025	VTO_9005294	0.185	VTO_0055613	1	VTO_0055613	1	VTO_9009727	0.315031837
VTO_0055613	10	VTO_0055613	0.735	VTO_0055613	0.845	VTO_0055613	0.735	VTO_0055613	0.845	VTO_0080344	0.025	VTO_9005294	0.185	VTO_0055613	1	VTO_0055613	1	VTO_9016999	0.316626059
